Date,Open,High,Low,Close,Adj Close,Volume
2018-04-17,11.618000,11.718000,11.592000,11.662000,11.538366,9236762
2018-04-18,11.680000,11.782000,11.624000,11.726000,11.601687,7700297
2018-04-19,11.690000,11.746000,11.580000,11.686000,11.562112,8628504
2018-04-20,11.642000,11.690000,11.470000,11.574000,11.451300,14817003
2018-04-23,11.578000,11.734000,11.498000,11.686000,11.562112,9612796
2018-04-24,11.690000,12.208000,11.650000,12.178000,12.048897,21857304
2018-04-25,12.038000,12.064000,11.756000,11.990000,11.862889,16347531
2018-04-26,11.580000,12.198000,11.482000,11.834000,11.708543,25226438
2018-04-27,11.898000,11.898000,11.262000,11.436000,11.314762,25012710
2018-04-30,11.450000,11.524000,11.310000,11.366000,11.245504,10597628
2018-05-02,11.362000,11.504000,11.302000,11.440000,11.318720,11501668
2018-05-03,11.400000,11.630000,11.284000,11.314000,11.194056,13193542
2018-05-04,11.250000,11.544000,11.234000,11.520000,11.397872,11089668
2018-05-07,11.546000,11.566000,11.388000,11.526000,11.403809,8199758
2018-05-08,11.522000,11.636000,11.312000,11.454000,11.332572,10645002
2018-05-09,11.410000,11.600000,11.410000,11.540000,11.417660,8654052
2018-05-10,11.610000,11.666000,11.460000,11.604000,11.480982,6549664
2018-05-11,11.600000,11.710000,11.584000,11.644000,11.520557,7702763
2018-05-14,11.610000,11.716000,11.410000,11.470000,11.348402,11505320
2018-05-15,11.374000,11.400000,11.182000,11.280000,11.160416,15958267
2018-05-16,11.230000,11.254000,10.916000,10.978000,10.861617,21956941
2018-05-17,10.994000,11.112000,10.910000,11.024000,10.907130,11884427
2018-05-18,11.042000,11.132000,10.806000,10.810000,10.695399,19201502
2018-05-21,10.810000,10.810000,10.810000,10.810000,10.695399,0
2018-05-22,10.822000,11.016000,10.786000,10.964000,10.847766,16775788
2018-05-23,11.030000,11.030000,10.748000,10.898000,10.782466,18594452
2018-05-24,10.900000,10.994000,10.186000,10.376000,10.266000,40178216
2018-05-25,10.400000,10.538000,10.264000,10.384000,10.384000,21782510
2018-05-28,10.498000,10.520000,10.246000,10.290000,10.290000,13669425
2018-05-29,10.194000,10.206000,9.705000,9.817000,9.817000,45395234
